,DLD1_WT_BR1,DLD1_WT_BR2,HCT116_Gemcitabine2uM_BR1,HCT116_Gemcitabine2uM_BR2,HCT116_WT_BR1,HCT116_WT_BR2,U2OS_WT_BR1,U2OS_WT_BR2
9959,0.008049369466058493,0.008049369466058493,0.005634558626240944,0.006439495572846793,0.0024148108398175474,0.0032197477864233967,0.005097933995170378,0.0024148108398175474
8117,0.00578806767586821,0.006678539626001781,0.002226179875333927,0.003116651825467498,0.003116651825467498,0.005342831700801425,0.004897595725734639,0.004007123775601068
5589,0.006060606060606061,0.006060606060606061,0.0012121212121212121,0.0030303030303030303,0.0024242424242424242,0.004242424242424243,0.006666666666666667,0.0018181818181818182
7886,0.0066555740432612314,0.002329450915141431,0.0026622296173044926,0.003993344425956739,0.0013311148086522463,0.003660565723793677,0.002329450915141431,0.002329450915141431
7512,0.01141552511415525,0.01141552511415525,0.0045662100456621,0.00684931506849315,,0.0045662100456621,0.00228310502283105,0.00228310502283105
2268,0.007262164124909223,0.007988380537400145,0.0036310820624546117,0.004720406681190995,0.0014524328249818446,0.0032679738562091504,0.002904865649963689,0.0039941902687000725
1381,0.00740009866798224,0.003453379378391712,0.006660088801184016,0.004440059200789344,0.005673408978786384,0.0029600394671928957,0.0046867291563887515,0.006413418845584608
421,0.007668711656441718,0.004601226993865031,0.003067484662576687,0.00408997955010225,0.0028118609406952966,0.003834355828220859,0.005623721881390593,0.0028118609406952966
687,0.007352941176470588,0.0058823529411764705,0.007647058823529412,0.005,0.004705882352941176,0.002352941176470588,0.0029411764705882353,0.004411764705882353
558,0.004213483146067416,0.005898876404494382,0.003651685393258427,0.0050561797752808986,0.003651685393258427,0.001966292134831461,0.001966292134831461,0.003089887640449438
7018,0.009823182711198428,0.006548788474132285,0.005239030779305829,0.0032743942370661427,0.0006548788474132286,0.007203667321545514,0.0019646365422396855,0.0013097576948264572
2355,0.01673101673101673,0.007722007722007722,0.006435006435006435,0.006435006435006435,0.002574002574002574,0.003861003861003861,0.002574002574002574,0.002574002574002574
9222,0.005639097744360902,0.0037593984962406013,0.003132832080200501,0.002506265664160401,0.0037593984962406013,0.0012531328320802004,0.0018796992481203006,
